PID,score,SMILES,Ester_Groups,Benzene_Rings,Ether_Groups,Alkyl_Carbons,Hydroxyl_Groups,Mol_Weight
P472266,0.9726461599916892,*[Si](*)(C)CCCOCC1COC(C)(C)O1,0,0,3,10,0,216.35299999999995
P450077,0.972594032196654,*CC(C)(C)COC(=O)O*,0,0,1,5,0,130.14299999999997
P342002,0.97159745531787,*CC(*)(C)C(=O)OCC=C,1,0,1,4,0,126.15499999999997
P040106,0.9695658018411162,*CC(*)(C)C(=O)OCC1CCCO1,1,0,2,8,0,170.20799999999994
P020158,0.9678791668303178,*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,0,1,1,8,0,245.32199999999995
P060025,0.9638603625473608,*CC/C=C(/*)C,0,0,0,3,0,68.119
P060001,0.9638603625473608,*CC/C=C(/*)C,0,0,0,3,0,68.119
P060002,0.9638603625473608,*CC/C=C(/*)C,0,0,0,3,0,68.119
P372336,0.9635766786533584,*CC(COCCOCCOC)O*,0,0,3,8,0,176.212
P040083,0.9612399531551352,*CC(*)(C)C(=O)OCCBr,1,0,1,5,0,193.03999999999996
P340034,0.956236598233478,*CC(*)(C)C(=O)OCCn1c2ccccc2c2ccccc21,1,2,1,5,0,279.33900000000006
P372842,0.9559064419634228,*C1OCCCC1C1C(=O)OC(=O)C1*,2,0,2,7,0,182.17499999999998
P040292,0.9542173440201884,*CC(*)(C)C(=O)Oc1ccc(C(C)(C)C)cc1,1,1,1,7,0,218.29599999999996
P512034,0.9519480066011632,*Oc1cc(Br)cc(Br)c1*,0,1,0,0,0,249.889
P100627,0.951580146720455,*Nc1ccc(CC(C)(C)NC(=O)c2ccc(C(*)=O)cc2)cc1,0,2,0,4,0,294.354
P342467,0.9507258763106065,*CC(*)(C)C(=O)Oc1ccc([N+](=O)[O-])c(C)c1,1,1,1,4,0,221.21199999999996
P390225,0.9500560833785956,*OC(C)(CC(*)=O)C(F)(F)F,0,0,0,4,0,154.087
P010019,0.94846883298629,*CCCC(*)(C)CC,0,0,0,7,0,98.189
P402011,0.947299707165181,*Nc1ccc(NC(=O)Cc2cc(CC(*)=O)c(C)cc2C)cc1,0,2,0,4,0,294.354
P402008,0.9472997032068114,*Nc1ccc(NC(=O)Cc2cc(C)c(CC(*)=O)cc2C)cc1,0,2,0,4,0,294.354
P070025,0.94670093611537,*CC(O*)C(C)(C)C,0,0,0,6,0,100.16099999999999
P070330,0.9460139184248728,*CCOCCOC(=O)CCC(=O)O*,1,0,2,6,0,188.17899999999995
P040082,0.9427575140253048,*CC(*)(C)C(=O)OCCCl,1,0,1,5,0,148.589
P432245,0.9412626291090485,*C(=O)OCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,1,2,2,2,0,337.2870000000001
P020131,0.9412088197445544,*CC(*)c1cc(C(C)(C)C)ccc1C,0,1,0,7,0,174.287
P370303,0.9383452347187404,*Oc1c(Cl)cc(*)cc1Br,0,1,0,0,0,205.438
P342493,0.9381285508574156,*CC(*)(C)C(=O)OCc1ccc(Cl)cc1Cl,1,1,1,4,0,245.105
P342494,0.9381284622404082,*CC(*)(C)C(=O)OCc1cc(Cl)ccc1Cl,1,1,1,4,0,245.105
P402010,0.9368597541323388,*Nc1ccc(-c2ccc(NC(=O)Cc3cc(C)c(CC(*)=O)cc3C)cc2)cc1,0,3,0,4,0,370.45200000000006
P402013,0.9368596845324856,*Nc1ccc(-c2ccc(NC(=O)Cc3cc(CC(*)=O)c(C)cc3C)cc2)cc1,0,3,0,4,0,370.45200000000006
P342026,0.9339097177993824,*CC(*)(C)C(=O)OCCCn1c2ccccc2c2ccccc21,1,2,1,6,0,293.36600000000004
P390242,0.9327228967818968,*OC(COc1ccccc1)CC(*)=O,0,1,1,3,0,178.18699999999995
P040164,0.932690705817982,*CC(*)C(=O)OCC(C)(C)C,1,0,1,7,0,142.19799999999998
P342498,0.9325754724582488,*CC(*)(C)C(=O)OC1CCOCC1,1,0,2,8,0,170.20799999999994
P040064,0.931700106415312,*CC(*)(C)C(=O)OC1CCCCC1,1,0,1,9,0,168.23599999999993
P500038,0.929132820111708,*C/C=C/CS(*)(=O)=O,0,0,0,2,0,118.15699999999998
P090183,0.9290669256044192,*CC(C)(C)C(=O)O*,0,0,0,4,0,100.11699999999998
P340101,0.9280718569237192,*CC(*)C(=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,0,2,0,2,0,277.279
P340015,0.9279756291154608,*CC(*)C(=O)OCC(C)O,1,0,1,5,1,130.143
P452065,0.926261471408879,*OC(COC(*)=O)COc1ccccc1,0,1,2,3,0,194.186
P390071,0.925665781305244,*Oc1ccc(C(C)(C)c2ccc(OC(=O)CC(C)CCC(*)=O)cc2)cc1,1,2,1,8,0,352.4300000000001
P370614,0.9249261815111772,*CC(CS(=O)(=O)CC)O*,0,0,0,5,0,150.19899999999998
P070331,0.9236870425536235,*CCOCCOC(=O)CCCC(=O)O*,1,0,2,7,0,202.20599999999993
P342055,0.9229942315839,*CC(*)(C)C(=O)OCCOCCOC,1,0,3,8,0,188.22299999999996
P100083,0.92284246993083,*Cc1cc(CNC(=O)c2cccc(C(=O)N*)c2)cc(C(C)(C)C)c1,0,2,0,6,0,322.40800000000013
P100051,0.9228424179923022,*Cc1cccc(CNC(=O)c2cc(C(=O)N*)cc(C(C)(C)C)c2)c1,0,2,0,6,0,322.4080000000001
P010096,0.9224710621493366,*CC/C=C(/*)CCCCCCC,0,0,0,9,0,152.281
P040084,0.9215959354255004,*CC(*)(C)C(=O)OCC(F)(F)F,1,0,1,5,0,168.11399999999995
P340159,0.920430581951586,*CC(*)(C)C(=O)OCCCCl,1,0,1,6,0,162.61599999999999
P452046,0.9126165010102896,*CC(C)(COC(=O)O*)C(=O)OCc1ccccc1,1,1,2,5,0,250.24999999999997
P342230,0.9121374431266264,*CC(*)(C)C(=O)OCc1c(F)cccc1F,1,1,1,4,0,212.19499999999996
P044380,0.91158286075395,*CC(*)(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,1,2,1,7,0,307.39300000000003
P472104,0.9114833205214842,*O[Si](*)(C)CCc1ccc(O)cc1,0,1,0,3,0,180.279
P362034,0.9094558371277311,*/C=C/C(*)(C)C,0,0,0,3,0,68.11899999999999
P322027,0.9084740878455256,*CC(*)c1ccc(O)c(OC)c1,0,1,1,3,0,150.177
P010016,0.90847087258337,*CCC(*)(C)C,0,0,0,5,0,70.13499999999999
P342495,0.9073036996666536,*CC(*)(C)C(=O)OCc1c(Cl)cccc1Cl,1,1,1,4,0,245.105
P472029,0.906878420182292,*O[Si](*)(C)CCCOCC1COC(=O)O1,0,0,3,7,0,218.28099999999998
P010072,0.9063683778439136,*/C=C/CC*,0,0,0,2,0,54.09199999999999
P010070,0.9063683778439136,*/C=C/CC*,0,0,0,2,0,54.09199999999999
